fid,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,TXT_OBS_02,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"100","305076154261000427","305","076","1542","00","0427",CV,CAC,"2",S,S,ZM,"0",,,"0","0",S,ZC,"0",,,"0","0",QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","809","288",AVENIDA PARADA PINTO,"2139","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"102","157175152390000043","157","175","1523","00","0043",IP,SAC,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","445","358",AVENIDA DOS OURIVES,"349","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"114","302009143081000047","302","009","1430","00","0047",IP,IPI,"2",S,S,ZEM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"10",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1650","1300",RUA DAS MUNICIPALIDADES,"98","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL-SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"115","301008142670000017","301","008","1426","00","0017",CL,VAN,"2",S,S,ZCOR-3,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","3640","5642",AVENIDA MORUMBI,"6340","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL-SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"117","171298140201000358","171","298","1402","00","0358",CL,CLM,"3",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","11242",ESTRADA DOS MIRANDAS,"303","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"121","168058135917000117","168","058","1359","00","0117",CL,CLM,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","445","374",RUA MARTIM DA COSTA VILELA,"154","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"129","300042129992000372","300","042","1299","00","0372",BT,MOR,"3",S,S,ZER 1,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","48400",RUA MARGARIDA GALVAO,"111","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"135","304014122335000047","304","014","1223","00","0047",MG,VGL,"1",S,S,ZEMP,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1000","1000",RUA LUIS FLAQUER,"68","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"144","310048117340000467","310","048","1173","00","0467",JA,JAB,"3",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","603","834",AVENIDA LEONARDO DA VINCI,"1007","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL-SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"146","166057115878000038","166","057","1158","00","0038",CL,CRE,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","620","860",RUA LANDOLFO DE ANDRADE,"237","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"152","302013113794000062","302","013","1137","00","0062",IP,IPI,"2",S,S,ZEM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"10",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1210","1476",RUA DAS JUNTAS PROVISORIAS,,"2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL-SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"181","233039096245000011","233","039","0962","00","0011",IQ,PQC,"1",S,S,ZPI-1,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","11131","7001",RUA VICTORIO SANTIM,"2961","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"187","148142091340000038","148","142","0913","00","0038",AR,ALL,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","653","414",AVENIDA INCONFIDENCIA MINEIRA,"484","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
"188","140028090840000047","140","028","0908","00","0047",IQ,ITQ,"1",S,S,ZC,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","700","512",ESTRADA DO IMPERADOR,"3570","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"189","194177090441000044","194","177","0904","00","0044",SM,IGU,"2",S,S,ZEU,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","138",AVENIDA RAGUEB CHOHFI,"3762","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"191","133104089362000014","133","104","0893","00","0014",MP,JDH,"1",S,S,ZEU,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","810","508",RUA APIU-QUIRIBO,"5","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"207","152139077364000062","152","139","0773","00","0062",SM,SMT,"3",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","4785","875",RUA DOUTOR GALVAO GUIMARAES,"72","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"214","299020068977000269","299","020","0689","00","0269",PI,IBI,"2",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"12",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","119945","13459",AVENIDA BRIGADEIRO FARIA LIMA,"3732","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"221","304092060992000047","304","092","0609","00","0047",MG,VGL,"1",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","700","725",RUA DOZE DE SETEMBRO,"1030","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"225","171128053384000053","171","128","0533","00","0053",BT,CLM,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","850","877",RUA PADRE CORREIA DE ALMEIDA,"391","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"227","163042051276000176","163","042","0512","00","0176",SO,CDU,"1",S,S,ZMA,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","531","180",RUA FREDERICO RENE DE JAEGHER,"1077","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"228","163033051276000014","163","033","0512","00","0014",SO,CDU,"2",S,S,ZCA,"0",,,"0","0",S,ZMA,"0",,,"0","0",QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","1622","1483",RUA FREDERICO RENE DE JAEGHER,"1521","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"234","176107046744000037","176","107","0467","00","0037",SO,GRA,"2",S,S,ZEUA,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","464","463",RUA DOMENICO CIMAROSA,"9","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"235","196001045616000037","196","001","0456","00","0037",MO,BEL,"2",S,S,ZM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1191","2485",AVENIDA PRESIDENTE CASTELO BRANCO,"3756","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
"237","299103045284020000","299","103","0452","02","0000",PI,IBI,"2",S,S,ZC,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"12",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","46866","6000",RUA CASA DO ATOR,"90","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","1",,
"245","299101042498000670","299","101","0424","00","0670",PI,IBI,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"12",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","971","110",AVENIDA DOUTOR CARDOSO DE MELO,"716","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"254","142080034312000087","142","080","0343","00","0087",PE,ALL,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","262","1243",RUA BOICORA,"103","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
"283","299116009300000339","299","116","0093","00","0339",PI,IBI,"2",S,S,ZC,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"12",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","2795",RUA ALVORADA,,"2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
